constructorStandingsId,raceId,racename,raceround,constructorId,name,nationality,wiki,points,position,positionText,wins
8357,311,n°7 - French Grand Prix,7,35,Dallara,#N/A,http://en.wikipedia.org/wiki/Dallara,5,7,7,0
8356,311,n°7 - French Grand Prix,7,27,Ligier,#N/A,http://en.wikipedia.org/wiki/Ligier,0,12,12,0
8355,311,n°7 - French Grand Prix,7,41,Leyton House,#N/A,http://en.wikipedia.org/wiki/Leyton_House,0,14,14,0
8354,311,n°7 - French Grand Prix,7,29,Footwork,#N/A,http://en.wikipedia.org/wiki/Footwork_Arrows,0,17,17,0
8353,311,n°7 - French Grand Prix,7,3,Williams,#N/A,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,45,2,2,2
8352,311,n°7 - French Grand Prix,7,32,Team Lotus,#N/A,http://en.wikipedia.org/wiki/Team_Lotus,3,9,9,0
8351,311,n°7 - French Grand Prix,7,34,Brabham,#N/A,http://en.wikipedia.org/wiki/Brabham,0,15,15,0
8350,311,n°7 - French Grand Prix,7,17,Jordan,#N/A,http://en.wikipedia.org/wiki/Jordan_Grand_Prix,9,6,6,0
8349,311,n°7 - French Grand Prix,7,18,Minardi,#N/A,http://en.wikipedia.org/wiki/Minardi,3,8,8,0
8348,311,n°7 - French Grand Prix,7,39,AGS,#N/A,http://en.wikipedia.org/wiki/Automobiles_Gonfaronnaises_Sportives,0,16,16,0
8347,311,n°7 - French Grand Prix,7,40,Lambo,#N/A,http://en.wikipedia.org/wiki/Modena_(racing_team),0,13,13,0
8346,311,n°7 - French Grand Prix,7,33,Larrousse,#N/A,http://en.wikipedia.org/wiki/Larrousse,1,11,11,0
8345,311,n°7 - French Grand Prix,7,25,Tyrrell,#N/A,http://en.wikipedia.org/wiki/Tyrrell_Racing,11,5,5,0
8379,312,n°8 - British Grand Prix,8,26,Lola,#N/A,http://en.wikipedia.org/wiki/MasterCard_Lola,1,10,10,0
8378,312,n°8 - British Grand Prix,8,36,Fondmetal,#N/A,http://en.wikipedia.org/wiki/Fondmetal,0,18,18,0
8377,312,n°8 - British Grand Prix,8,42,Coloni,#N/A,http://en.wikipedia.org/wiki/Enzo_Coloni_Racing_Car_Systems,0,19,19,0
8376,312,n°8 - British Grand Prix,8,35,Dallara,#N/A,http://en.wikipedia.org/wiki/Dallara,5,7,7,0
8375,312,n°8 - British Grand Prix,8,27,Ligier,#N/A,http://en.wikipedia.org/wiki/Ligier,0,12,12,0
8374,312,n°8 - British Grand Prix,8,41,Leyton House,#N/A,http://en.wikipedia.org/wiki/Leyton_House,0,14,14,0
8373,312,n°8 - British Grand Prix,8,29,Footwork,#N/A,http://en.wikipedia.org/wiki/Footwork_Arrows,0,17,17,0
8372,312,n°8 - British Grand Prix,8,3,Williams,#N/A,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,55,2,2,3
8371,312,n°8 - British Grand Prix,8,32,Team Lotus,#N/A,http://en.wikipedia.org/wiki/Team_Lotus,3,9,9,0
8370,312,n°8 - British Grand Prix,8,34,Brabham,#N/A,http://en.wikipedia.org/wiki/Brabham,0,15,15,0
8369,312,n°8 - British Grand Prix,8,17,Jordan,#N/A,http://en.wikipedia.org/wiki/Jordan_Grand_Prix,10,6,6,0
8368,312,n°8 - British Grand Prix,8,18,Minardi,#N/A,http://en.wikipedia.org/wiki/Minardi,3,8,8,0
8367,312,n°8 - British Grand Prix,8,39,AGS,#N/A,http://en.wikipedia.org/wiki/Automobiles_Gonfaronnaises_Sportives,0,16,16,0
8366,312,n°8 - British Grand Prix,8,40,Lambo,#N/A,http://en.wikipedia.org/wiki/Modena_(racing_team),0,13,13,0
8365,312,n°8 - British Grand Prix,8,33,Larrousse,#N/A,http://en.wikipedia.org/wiki/Larrousse,1,11,11,0
8364,312,n°8 - British Grand Prix,8,25,Tyrrell,#N/A,http://en.wikipedia.org/wiki/Tyrrell_Racing,11,5,5,0
8398,313,n°9 - German Grand Prix,9,26,Lola,#N/A,http://en.wikipedia.org/wiki/MasterCard_Lola,1,10,10,0
8397,313,n°9 - German Grand Prix,9,36,Fondmetal,#N/A,http://en.wikipedia.org/wiki/Fondmetal,0,18,18,0
8396,313,n°9 - German Grand Prix,9,42,Coloni,#N/A,http://en.wikipedia.org/wiki/Enzo_Coloni_Racing_Car_Systems,0,19,19,0
8395,313,n°9 - German Grand Prix,9,35,Dallara,#N/A,http://en.wikipedia.org/wiki/Dallara,5,7,7,0
8394,313,n°9 - German Grand Prix,9,27,Ligier,#N/A,http://en.wikipedia.org/wiki/Ligier,0,12,12,0
8393,313,n°9 - German Grand Prix,9,41,Leyton House,#N/A,http://en.wikipedia.org/wiki/Leyton_House,0,14,14,0
8392,313,n°9 - German Grand Prix,9,29,Footwork,#N/A,http://en.wikipedia.org/wiki/Footwork_Arrows,0,17,17,0
8391,313,n°9 - German Grand Prix,9,3,Williams,#N/A,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,71,1,1,4
8390,313,n°9 - German Grand Prix,9,32,Team Lotus,#N/A,http://en.wikipedia.org/wiki/Team_Lotus,3,9,9,0
8389,313,n°9 - German Grand Prix,9,34,Brabham,#N/A,http://en.wikipedia.org/wiki/Brabham,0,15,15,0
8388,313,n°9 - German Grand Prix,9,17,Jordan,#N/A,http://en.wikipedia.org/wiki/Jordan_Grand_Prix,13,5,5,0
8387,313,n°9 - German Grand Prix,9,18,Minardi,#N/A,http://en.wikipedia.org/wiki/Minardi,3,8,8,0
8386,313,n°9 - German Grand Prix,9,39,AGS,#N/A,http://en.wikipedia.org/wiki/Automobiles_Gonfaronnaises_Sportives,0,16,16,0
8385,313,n°9 - German Grand Prix,9,40,Lambo,#N/A,http://en.wikipedia.org/wiki/Modena_(racing_team),0,13,13,0
